CountryOfExploitation,n_records,means_of_control,type_of_exploitation,labour_exploitation_type,sexual_exploitation_type,abduction,recruiter_and_country
US,51611,13.76,52.3,92.2,47.9,28.66,57.27
RU,5631,33.62,51.6,47.9,15.92,56.22,90.28
PH,1988,0.0,21.56,4.85,0.0,0.0,92.74
ID,1805,7.82,83.08,9.02,3.69,9.14,87.9
KH,1029,84.94,95.19,6.39,57.28,94.46,86.35
MY,966,12.18,38.08,48.85,17.91,61.28,86.97
LY,822,17.96,24.4,14.42,11.82,15.94,86.9
PL,732,22.13,55.05,54.98,20.9,61.07,88.7
ML,592,52.83,54.9,47.06,43.92,54.9,90.11
GH,584,4.11,86.47,96.93,21.95,97.43,86.01
SA,526,14.85,48.46,16.51,8.52,15.97,86.04
AE,515,6.8,87.21,39.49,8.23,41.17,86.69
TH,505,5.62,6.36,3.93,3.45,53.27,83.85
SN,370,0.0,14.92,44.81,9.51,100.0,85.71
BG,356,0.0,39.51,92.86,20.0,100.0,85.71
HT,337,40.36,71.74,38.91,8.01,40.06,89.49
KW,301,0.0,15.43,4.27,0.0,0.0,88.8
RO,267,0.0,42.03,89.57,19.03,100.0,85.71
TR,258,0.15,88.89,95.71,18.99,100.0,85.71
RS,249,0.0,88.89,92.86,20.0,100.0,85.71
QA,239,0.0,64.62,1.2,0.0,0.0,87.09
UA,231,0.0,0.0,0.0,0.0,0.0,85.71
UZ,216,0.0,28.09,0.0,0.0,36.11,85.71
KZ,215,46.2,59.95,35.48,9.49,93.02,89.24
MK,194,0.0,88.89,92.86,20.0,100.0,85.71
UG,193,68.45,71.56,95.45,34.51,100.0,65.58
CN,189,64.52,67.43,56.99,38.52,59.79,96.15
BD,167,86.33,85.16,71.86,57.49,71.86,91.1
NG,138,23.83,0.0,0.0,0.0,100.0,88.1
BA,127,0.0,88.89,70.92,15.28,100.0,85.71
LB,125,75.2,71.56,40.46,33.92,75.2,93.14
OM,123,10.57,77.33,9.81,6.34,10.57,84.9
JP,111,0.0,22.22,1.42,0.0,0.0,93.56
JO,108,78.7,88.89,78.7,15.74,78.7,95.37
IN,106,94.44,100.0,100.0,60.0,100.0,14.29
MG,94,0.0,0.0,0.0,0.0,0.0,85.71
TJ,88,0.0,0.0,1.62,0.0,87.5,85.71
TT,85,1.18,88.89,0.0,0.0,0.0,85.71
SL,81,0.0,8.92,74.51,16.05,80.25,85.71
VU,74,0.0,0.0,0.0,0.0,0.0,85.71
MA,72,0.0,0.0,0.0,0.0,0.0,85.71
AF,58,39.66,88.89,100.0,20.0,100.0,85.96
ET,58,0.0,0.0,0.0,0.0,0.0,85.71
ZA,57,0.0,56.14,0.0,0.0,0.0,85.71
CZ,54,0.0,88.89,94.05,20.0,100.0,85.71
IQ,50,0.0,0.0,0.0,0.0,0.0,85.71
AL,45,0.0,80.49,93.33,20.0,100.0,85.71
HK,43,87.47,100.0,84.55,60.0,100.0,70.43
BI,42,9.66,0.0,0.0,0.0,0.0,85.71
SY,41,0.0,88.89,0.0,0.0,0.0,85.71
EG,40,100.0,88.89,0.0,0.0,0.0,86.07
TN,37,0.0,0.0,0.0,0.0,0.0,85.71
SG,37,0.0,88.89,0.0,0.0,0.0,85.71
NE,34,0.0,0.0,0.0,0.0,0.0,85.71
BY,33,88.22,92.59,28.57,26.67,33.33,93.51
TW,33,0.0,88.89,0.0,0.0,0.0,85.71
TZ,33,0.0,0.0,0.0,0.0,0.0,85.71
MX,31,0.0,0.0,0.0,0.0,0.0,85.71
GA,30,0.0,0.0,0.0,0.0,0.0,85.71
MW,30,0.0,0.0,0.0,0.0,0.0,85.71
IT,26,0.0,88.89,93.41,20.0,100.0,85.71
AT,24,0.0,88.89,92.86,20.0,100.0,85.71
CI,24,0.0,0.0,0.0,0.0,0.0,85.71
BH,22,0.0,88.89,0.0,0.0,0.0,85.71
MU,20,0.0,0.0,0.0,0.0,0.0,85.71
AR,18,0.0,0.0,0.0,0.0,0.0,85.71
DK,17,0.0,88.89,0.0,0.0,0.0,85.71
CL,16,0.0,0.0,0.0,0.0,0.0,85.71
FR,16,0.0,0.0,0.0,0.0,0.0,85.71
VN,16,88.89,100.0,78.57,60.0,100.0,85.71
TM,15,0.0,0.0,0.0,0.0,100.0,85.71
DE,13,0.0,0.0,0.0,0.0,0.0,85.71
EC,12,0.0,0.0,0.0,0.0,0.0,85.71
KE,12,94.44,100.0,92.86,60.0,100.0,40.48
CY,12,0.0,88.89,93.45,20.0,100.0,85.71
SD,12,0.0,0.0,0.0,0.0,0.0,85.71
SE,11,0.0,0.0,0.0,0.0,0.0,85.71
